location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
Tajikistan,Asia,9537642.0,71.1,4.8,2896.913
Tanzania,Africa,59734213.0,65.46,0.7,2683.304
Thailand,Asia,69799978.0,77.15,2.1,16277.671
Timor,Asia,1318442.0,69.5,5.9,6570.102
Togo,Africa,8278737.0,61.04,0.7,1429.8129999999999
Trinidad and Tobago,North America,1399491.0,73.51,3.0,28763.071
Tunisia,Africa,11818618.0,76.7,2.3,10849.296999999999
Turkey,Asia,84339067.0,77.69,2.81,25129.341
Turks and Caicos Islands,North America,38718.0,80.22,,
Uganda,Africa,45741000.0,63.37,0.5,1697.707
Ukraine,Europe,43733759.0,72.06,8.8,7894.393
United Arab Emirates,Asia,9890400.0,77.97,1.2,67293.483
United Kingdom,Europe,67886004.0,81.32,2.54,39753.244
United States,North America,331002647.0,78.86,2.77,54225.445999999996
United States Virgin Islands,North America,104423.0,80.58,,
Uruguay,South America,3473727.0,77.91,2.8,20551.409
Uzbekistan,Asia,33469199.0,71.72,4.0,6253.104
Vatican,Europe,809.0,75.12,,
Venezuela,South America,28435943.0,72.06,0.8,16745.022
Vietnam,Asia,97338583.0,75.4,2.6,6171.884
Western Sahara,Africa,597330.0,70.26,,
Yemen,Asia,29825968.0,66.12,0.7,1479.1470000000002
Zambia,Africa,18383956.0,63.89,2.0,3689.2509999999997
Zimbabwe,Africa,14862927.0,61.49,1.7,1899.775
